"","logFC","pvalue","padj"
"UQCRC1",0.0738114742904444,5.204001258759e-07,2.03938054136824e-06
"MARCKSL1",-0.0481780765393518,0.000762729179148993,0.00167748970564269
"AGRN",-0.143158241507239,3.56087480851035e-15,5.7964951752608e-14
"VEGFA",-0.0286016575984546,0.119833777016073,0.165016589572761
"NASP",-0.0730832580624244,2.18520933306388e-11,1.88863486559437e-10
"PTMS",0.151036995732421,9.27996676650454e-07,3.46193725883159e-06
"USP22",-0.131669256847564,6.94027747945685e-13,7.57448526251684e-12
"SELENOW",0.13973897386912,6.34129393378226e-13,7.00280740765353e-12
"MYO18B",-0.0550143278586399,0.00115866879401956,0.00246917621104626
"VCP",-0.0184712856683196,0.0143474221038086,0.0245112757503106
"AP002956.1",-0.0556976219884681,5.35356351011002e-08,2.55872966684203e-07
"TPM4",-0.0619860545866108,5.70010541814864e-10,3.87393303092728e-09
"LARP1",-0.0661490864997714,8.1041545675632e-11,6.31765593963892e-10
"PLEKHA7",-0.0244154814482495,0.0951046889243094,0.134645609308602
"SF3B1",-0.00401995844054769,0.794911124489974,0.834855120437933
"IGFBP5",-0.0264220848062383,0.0634718507791122,0.0933363262894555
"SFRP1",0.00328021968899618,0.774459009022749,0.817721372706824
"PRRC2B",-0.189817392126371,6.68856131554964e-10,4.49187521510805e-09
"EZR",0.00744375378437683,0.149309137900414,0.200232127365025
"MFN2",0.0175409312010115,0.14104310065376,0.190481942500398
"RGS5",0.0134723919317775,0.305135697910228,0.372654721616743
"UQCRC2",0.0358647110147702,6.5396705382003e-06,2.0981644073606e-05
"SMPX",0.0864673784343225,3.81869709054188e-12,3.76158968692199e-11
"UBA52",0.123447738930325,1.6729713883526e-06,5.92904696926485e-06
"XRCC5",-0.00684972440561606,0.481193853031039,0.54997197714756
"UGP2",0.0469591013389875,9.79233924738691e-05,0.000252994628495285
"ACTN4",-0.0326201951723973,0.00959708553753966,0.0170269609006383
"SERBP1",-0.000731282924753162,0.936480534545543,0.950103394130142
"SLC25A5",0.000520397778164363,0.962420559625678,0.970381827494248
"DEK",-0.000709160352192925,0.954847405053037,0.964685092315571
"ACTN1",-0.0653365574248372,6.08148357712371e-08,2.87580525064711e-07
"NFE2L1",-0.0219820901250719,0.115557947939195,0.160109078617124
"EMILIN1",-0.0991279872118775,6.83865490745427e-11,5.40543862442537e-10
"MAP3K20",0.0633967441642664,4.67486464337295e-06,1.53361035205321e-05
"CS",-0.0473068700852004,7.73173779129537e-07,2.92282099345143e-06
"KPNB1",-0.0619896039240262,1.97786395498849e-13,2.38624437566696e-12
"LTBP4",-0.000278113839534805,0.987313349133786,0.989741790884154
"FZD1",0.0320591592832661,0.0110243985965637,0.0193201029960203
"ACADVL",0.0736377191937898,4.00469895172146e-13,4.60169900690319e-12
"SREBF2",-0.00753131629675093,0.515627888993617,0.583802320362423
"MSN",-0.0855826997914175,6.60726714890395e-13,7.26576544317076e-12
"ISYNA1",-0.0885007256836279,5.06914866733717e-07,1.9913203891389e-06
"SNHG29",-0.0222304095295304,0.00829384903413387,0.0149383205500862
"HMGN1",-0.104059834599786,8.95132657905398e-15,1.37183550227993e-13
"GATA4",-0.0570274206299698,1.18353695747549e-11,1.07043613033255e-10
"MAT2A",-0.120345997175146,7.56024859961049e-08,3.51267410887496e-07
"EWSR1",-0.0528032574558604,1.55114307974753e-08,8.20024647185542e-08
"BCAM",0.0758293008667366,2.18562726934504e-06,7.6013202258128e-06
"KANK2",0.0014245148274612,0.903335114854068,0.923443844483991
"SEPT7",-0.00286125607385409,0.84688092974865,0.877285233183629
"KHDRBS1",-0.0160716797155322,0.0162518159393672,0.0273880583384452
"CTSB",-0.0296359303096955,0.00468529302558405,0.00886744908426457
"ZFP36L1",-0.00903761244358199,0.566368439603108,0.631169545356211
"CALM1",0.0565098146360785,2.25092694040289e-12,2.28812074487409e-11
"RBM20",0.00382557439194892,0.727673703582377,0.776876264089829
"SUN1",-0.0158255269726792,0.197403618246701,0.255588006470116
"DDB1",-0.0484239695036589,3.99323670698178e-07,1.60740102260668e-06
"MICAL2",-0.0889003248295883,2.41847149980619e-09,1.45958839891126e-08
"CBX5",-0.0650414214185733,1.10463539887022e-14,1.65403615063897e-13
"PKP2",0.0078578787851385,0.489679100295161,0.558690825478916
"TOP2B",0.0430049308667189,0.00537072663358707,0.0100437362711848
"P4HB",0.00450275882860343,0.570273245893876,0.634815950234545
"SPEG",-0.0160832466397188,0.27016661810222,0.335285417476991
