"","logFC","pvalue","padj","piValue","rank"
"EHMT2",-0.101073446048207,3.80652399215691e-10,2.67338103961822e-09,-8.57293913641377,-53
"PRR12",-0.106598367971661,3.53688792612136e-10,2.49475891468225e-09,-8.60297141680694,-52
"FARP1",-0.12045299956231,3.3450071693835e-10,2.36838129767099e-09,-8.62554837705734,-51
"RDH10",-0.129838184385371,3.28207043906821e-10,2.32761080295419e-09,-8.63308963581764,-50
"FRAS1",-0.113311256425501,3.10807001133422e-10,2.21022077905239e-09,-8.65556434245284,-49
"AC073957.3",-0.25143476971203,2.58169449609918e-10,1.86643345998478e-09,-8.72898748844678,-48
"MYH6",-0.223148903912902,2.34569570409443e-10,1.70622216245396e-09,-8.76796442120711,-47
"FERMT1",-0.14325786269073,2.21375370917739e-10,1.61475256572101e-09,-8.79189401672283,-46
"GAS1",-0.115007648023019,1.89454246266112e-10,1.3967565176951e-09,-8.85487929341157,-45
"RHOF",-0.150353531598853,1.66286860426974e-10,1.23643855968563e-09,-8.90782745945024,-44
"ATP2A3",-0.114513572068476,1.61407018831071e-10,1.20232840346195e-09,-8.91997689312239,-43
"CHST11",-0.13680205002086,1.55903778014795e-10,1.16321342841473e-09,-8.93434059285646,-42
"CDC42BPG",-0.110461894374517,1.53711334910914e-10,1.14816908929447e-09,-8.93999414927257,-41
"SEMA3F",-0.113302425522247,1.41438562441748e-10,1.06380722685426e-09,-8.9731370636749,-40
"ATAT1",-0.139335397727521,1.30263810213985e-10,9.84299312173115e-10,-9.00687281837852,-39
"TEK",-0.148294226700053,1.26107704586072e-10,9.53447352586408e-10,-9.02070328280934,-38
"SCUBE3",-0.109569991716537,1.24962922361283e-10,9.45721276936045e-10,-9.02423684005119,-37
"PENK",-0.27896420839514,1.18839405259809e-10,9.02155717926906e-10,-9.0447184939441,-36
"LRCH4",-0.124970544999702,1.03921836716911e-10,7.99615689948057e-10,-9.09711869280428,-35
"PIAS3",-0.102611501601699,1.02875354523208e-10,7.92498744058874e-10,-9.1010014173736,-34
"LRRC4",-0.122665739580382,7.82496116789207e-11,6.12563886864636e-10,-9.21284861020283,-33
"PCDHGC3",-0.24662568155171,7.56292136632984e-11,5.93832754122058e-10,-9.22633585163361,-32
"SPEN",-0.110187566357642,6.96547743485202e-11,5.49901674971792e-10,-9.25971495747779,-31
"ADAMTS17",-0.158336400112345,6.90121367780012e-11,5.45158260362624e-10,-9.263477402999,-30
"RSKR",-0.114089104463416,6.64375542203623e-11,5.26414691459274e-10,-9.27867199870516,-29
"PPP1R10",-0.142824668506066,6.27980370871385e-11,4.9970225728521e-10,-9.30128868873172,-28
"RAB11FIP1",-0.172899116874462,5.89407135869751e-11,4.71598028589772e-10,-9.32642801904424,-27
"CRMP1",-0.100217485130738,5.87463021481437e-11,4.7033104519097e-10,-9.32759635378605,-26
"BCAT1",-0.119234822137652,5.65505668396552e-11,4.53587018894701e-10,-9.34333938291381,-25
"MGAT3",-0.150915552854411,5.29344486119954e-11,4.26681754510287e-10,-9.36989592776388,-24
"PIEZO1",-0.142479846616891,5.12416475697086e-11,4.1380406662795e-10,-9.38320524565337,-23
"P3H4",-0.115382271623535,4.9203813206115e-11,3.98086930418208e-10,-9.40002208049284,-22
"CHERP",-0.110402619221443,4.44231985676767e-11,3.62784818860137e-10,-9.44035089477406,-21
"EGLN2",-0.146088282214519,4.21889527804512e-11,3.45620805378546e-10,-9.46140012212737,-20
"RHOU",-0.130367046392869,4.11201061589994e-11,3.38352318312726e-10,-9.47063084348382,-19
