ID,Accession,Target,TargetID,Experiment,Literature,Tissue
RELA,5970,TNFRSF10B,8795,Unknown,18523266;19351839,Not Applicable
RELA,5970,VCAM1,7412,+,10329958;10946302;11359843;16317091;16385502;19281832;19422386;22708120,Not Applicable
RELA,5970,VCAM1,7412,Unknown,10553096;10833420;16453001;23042817,Not Applicable
RELA,5970,WT1,7490,Unknown,11243407,Not Applicable
REST,5978,CACNA1H,8912,Unknown,22431737,Not Applicable
REST,5978,PENK,5179,-,21832040,Not Applicable
RNF14,9604,CCND1,595,+,17510080,Not Applicable
RUNX1,861,BAALC,79870,+,22493267,Not Applicable
RUNX1,861,MYH10,4628,-,22395608,Not Applicable
RUNX3,864,CCND1,595,-,15930301,Not Applicable
RUNX3,864,JAG1,182,-,21637926,Not Applicable
SALL3,27164,DNMT3A,1788,Unknown,19139273,Not Applicable
SATB1,6304,MKI67,4288,+,22839214,Not Applicable
SHOX,6473,FGFR3,2261,+,21273290,Not Applicable
SIRT1,23411,CCND1,595,-,21474819,Not Applicable
SIRT1,23411,NOTCH1,4851,-,23028940,Not Applicable
SIRT1,23411,SHC1,6464,Unknown,21778425,Not Applicable
SIRT1,23411,TBX3,6926,-,20631301,Not Applicable
SIRT1,23411,TNFRSF10B,8795,-,22483777,Not Applicable
SIRT1,23411,XPC,7508,-,21149730,Not Applicable
SMAD3,4088,GLI2,2736,Unknown,19797115,Not Applicable
SMAD3,4088,TNC,3371,+,15001984,Not Applicable
SMAD4,4089,TNC,3371,+,15001984,Not Applicable
SMARCA4,6597,CAD,790,Unknown,14559996,Not Applicable
SMARCA4,6597,CCND1,595,-,18239461,Not Applicable
SNAI1,6615,FN1,2335,Unknown,22223884,Not Applicable
SNAI2,6591,JAG1,182,+,20509143,Not Applicable
SNIP1,79753,CCND1,595,Unknown,17260016,Not Applicable
SOX17,64321,FN1,2335,-,24407731,Not Applicable
SOX2,6657,BMP4,652,-,24477565,Not Applicable
SOX2,6657,CCND1,595,Unknown,18456656,Not Applicable
SOX2,6657,MKI67,4288,-,20739473,Not Applicable
SOX6,55553,CCND1,595,-,21084391,Not Applicable
SOX9,6662,COL2A1,1280,+,18636947;20529846,Not Applicable
SOX9,6662,COL2A1,1280,-,12713737,Not Applicable
SOX9,6662,COL2A1,1280,Unknown,15623506;18759300;20039424,Not Applicable
SP1,6667,APAF1,317,Unknown,15972851,Not Applicable
SP1,6667,ATP2A3,489,+,22851172,Not Applicable
SP1,6667,CCND1,595,+,19755513,Not Applicable
SP1,6667,CCND1,595,Unknown,10908361;11024050;22334592;22415074,Not Applicable
SP1,6667,CDC42BPG,55561,Unknown,15194684,Not Applicable
SP1,6667,CDH3,1001,Unknown,19882246,Not Applicable
SP1,6667,CERS2,29956,+,22169644,Not Applicable
SP1,6667,COL18A1,80781,Unknown,11093745,Not Applicable
SP1,6667,COL2A1,1280,+,12888570;18065760,Not Applicable
SP1,6667,COL2A1,1280,-,12888570,Not Applicable
SP1,6667,CRMP1,1400,Unknown,18524846,Not Applicable
SP1,6667,DNMT1,1786,+,19211935;20570896,Not Applicable
SP1,6667,DNMT1,1786,-,20570896,Not Applicable
SP1,6667,DNMT1,1786,Unknown,19201992,Not Applicable
SP1,6667,DNMT3A,1788,+,15362956,Not Applicable
SP1,6667,DNMT3B,1789,+,15362956,Not Applicable
SP1,6667,ENG,2022,+,21146604,Not Applicable
SP1,6667,F2R,2149,Unknown,9494121,Not Applicable
SP1,6667,FGFR3,2261,Unknown,22334592,Not Applicable
SP1,6667,FOXM1,2305,+,20372080,Not Applicable
SP1,6667,HAS2,3037,-,21795679,Not Applicable
SP1,6667,HCN4,10021,+,19471099,Not Applicable
SP1,6667,HMGA1,3159,+,17510387,Not Applicable
SP1,6667,HMGA1,3159,Unknown,22389255,Not Applicable
SP1,6667,HMGA2,8091,Unknown,11802722,Not Applicable
SP1,6667,ITGA5,3678,+,18775869,Not Applicable
SP1,6667,LOXL4,84171,+,18949373,Not Applicable
SP1,6667,MAT2A,4144,+,11427482,Not Applicable
SP1,6667,MAT2A,4144,Unknown,11124935,Not Applicable
SP1,6667,MMRN1,22915,+,15631312,Not Applicable
SP1,6667,MYCN,4613,+,14567977,Not Applicable
