"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL27",17629.7257490945,0.154326218745621,0.0227290226852055,6.78983082040186,1.12265115632635e-11,1.01819307237888e-10
"RHOA",10325.325121199,-0.0107209190815357,0.00590376192791836,-1.81594705417193,0.0693784943058432,0.101268530804343
"DPYSL3",5382.86912772435,-0.157890472729804,0.012699061294278,-12.4332396758292,1.72499040622244e-35,2.67825296166108e-33
"TNS1",12617.3351186691,0.0047634684041949,0.0182182444604119,0.261466927537716,0.793732450649705,0.833751499788455
"SVIL",9552.45536149003,-0.0315136074445803,0.0149633584503165,-2.10605176299267,0.035199856243325,0.0548282007793437
"CAVIN1",11366.0144271026,0.0274653942147118,0.0117091903518744,2.34562710053775,0.0189951009721505,0.031502302502389
"PTTG1IP",10127.7710358592,0.0125592548175383,0.00665643811268746,1.88678308202096,0.0591895075346222,0.0874829507328358
"CCNI",11662.6828915505,0.0621100755463811,0.0136616908589176,4.54629490505847,5.45985220024346e-06,1.77132816904416e-05
"CALM3",12746.6293757642,0.0520333179738897,0.010729227409182,4.84967985014094,1.23660901701029e-06,4.50750553377534e-06
"RTN4",10046.9703101453,-0.00672433519692973,0.0106129362033791,-0.633598004178025,0.526343203665525,0.593666700873975
"MYOZ2",11795.8851442072,0.0984459312358455,0.0116449268127915,8.45397595180301,2.81547331346003e-17,6.43071855589242e-16
"SYNPO2L",8291.88746653987,-0.0302996756645997,0.0172999259516455,-1.75143383557186,0.0798712089835772,0.114975751386734
"RPL35A",18293.176310705,0.166807713775646,0.025007442330101,6.67032284124725,2.5524131697148e-11,2.17714666837282e-10
"RPL31",18196.0241131705,0.180513666960031,0.0250813123526397,7.19713802938356,6.14895097204533e-13,6.80769257872794e-12
"SLC4A3",13720.0028669067,0.0534308915651343,0.0147733893027937,3.61669827214465,0.00029838477807647,0.000707423064110766
"MATR3",9709.06597149329,0.00732496783652714,0.0157277371120428,0.465735648068428,0.641404732505674,0.699314539486624
"SNHG14",9998.75766036686,-0.0116125175462646,0.0111422115806517,-1.04220939103594,0.297314610047085,0.364331217160019
"OBSCN",10332.6264966165,0.0152102020904248,0.015565055973195,0.977201888423572,0.328469213296635,0.397245500724659
"NNT",9294.52205244458,0.00328880463574862,0.0147906842002826,0.222356490829937,0.824036379268779,0.858598902166926
"RPL19",13895.1483980301,0.0966907940143636,0.0233674144003386,4.13784736119382,3.50579459647039e-05,9.82014027645335e-05
"ADCY6",9319.6902283041,-0.0706070957347306,0.0199253944061193,-3.54357330628528,0.000394743551948718,0.000913295264238989
"BVES",10882.3666998267,0.0145996419023098,0.0163490582725952,0.892995893640076,0.371859371710853,0.442167760100948
"HNRNPD",9512.01951033145,-0.0153776903104863,0.00653112410748064,-2.35452428363334,0.0185464318540471,0.0308169912397098
"GJA1",12834.6487846471,0.0987024893377839,0.0132100482340235,7.47177357638772,7.91210675805786e-14,1.02983728880829e-12
"PXDN",7239.78767418013,-0.108563684824182,0.0109689191963372,-9.89739124529559,4.2727502618383e-23,2.15989181840679e-21
"RPL15",13628.13255992,0.0981557762947033,0.0158400425521858,6.19668640228233,5.76642295250052e-10,3.91492390143216e-09
